ward,item,location,cost,year,category
28,Alley Speed Hump Menu,W TAYLOR ST &  S THROOP ST&S LOOMIS ST &  W FILLMORE ST,1400,2022,Alleys
28,Alley Speed Hump Replacement,W WILCOX ST &  S PULASKI RD&S SPRINGFIELD AVE &  W ADAMS ST,0,2022,Alleys
28,Bollard Menu,W MAYPOLE AVE &  N HAMLIN BLVD,6035.7,2022,Misc.
28,Collector Street - Miscellaneous Concrete,ON S ALBANY AVE FROM W HARRISON ST  (600 S) TO W ROOSEVELT RD  (1200 S),7272.69,2022,Misc.
28,Miscellaneous CDOT Projects,4301 W JACKSON BLVD,660,2022,Misc. CDOT
28,Pavement Markings Menu,ON S RACINE AVE FROM W ADAMS ST  (200 S) TO W JACKSON BLVD  (300 S),1500,2022,Street Redesign
28,POD Camera Relocation - 162 N Laramie,162 N LARAMIE AVE,1800,2022,Police Cameras
28,Sidewalk Menu,4123 W GLADYS AVE,3360.88,2022,Sidewalk Repair
28,Sidewalk Menu,ON N LAVERGNE AVE FROM W WASHINGTON BLVD  (100 N) TO W WEST END AVE  (150 N),41102,2022,Sidewalk Repair
28,Sidewalk Menu,ON S ST LOUIS AVE FROM 318 S TO W JACKSON BLVD  (300 S),10874.29,2022,Sidewalk Repair
28,Street Light Pole for High Definition Camera Menu,S KILBOURN AVE &  W GLADYS AVE,3500,2022,Lighting
28,Street Light Residential Staggered Piggy Back Menu,ON W ADAMS ST FROM S HAMLIN BLVD  (3800 W) TO S SPRINGFIELD AVE  (3900 W),142000,2022,Lighting
28,Street Light Residential Staggered Piggy Back Menu,ON W CONGRESS PKWY FROM S KOSTNER AVE  (4400 W) TO S KOLMAR AVE  (4550 W); ON S KILBOURN AVE FROM W VAN BUREN ST  (400 S) TO W HARRISON ST  (600 S),329000,2022,Lighting
28,Street Light Residential Staggered Piggy Back Menu,ON W FILLMORE ST FROM S WESTERN AVE  (2400 W) TO S CAMPBELL AVE  (2500 W),165000,2022,Lighting
28,Street Light Residential Staggered Piggy Back Menu,ON W GRENSHAW ST FROM S WESTERN AVE  (2400 W) TO S CAMPBELL AVE  (2500 W),145000,2022,Lighting
28,Street Light Residential Staggered Piggy Back Menu,ON W MONROE ST FROM S HAMLIN BLVD  (3800 W) TO S PULASKI RD  (4000 W),293200,2022,Lighting
28,Street Light Residential Staggered Piggy Back Menu,ON W WILCOX ST FROM S HAMLIN BLVD  (3800 W) TO S SPRINGFIELD AVE  (3900 W),142000,2022,Lighting
28,Street Resurfacing Menu,ON S KENNETH AVE FROM W WEST END AVE  (200 N) TO W MAYPOLE AVE  (240 N),40246.38,2022,Street Resurfacing
28,Street Resurfacing Menu,ON W ADAMS ST FROM S KILPATRICK AVE  (4700 W) TO S CICERO AVE  (4800 W),57565.38,2022,Street Resurfacing
28,Street Speed Hump Menu,ON N KILBOURN AVE FROM W MADISON ST  (0 S) TO W WASHINGTON BLVD  (100 N),2350,2022,Street Redesign
28,Street Speed Hump Menu,ON N KILDARE AVE FROM W WASHINGTON BLVD  (100 N) TO W WEST END AVE  (200 N),2350,2022,Street Redesign
28,Street Speed Hump Menu,ON W FIFTH AVE FROM S ST LOUIS AVE  (3510 W) TO S CENTRAL PARK AVE  (3600 W),4700,2022,Street Redesign
28,Street Speed Hump Menu,ON W FILLMORE ST FROM S THROOP ST  (1300 W) TO S LAFLIN ST  (1500 W),9400,2022,Street Redesign
